vehicle_type,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),age,
3,39,683175 ,49098 ,154.646 ,635.203 ,17.755 ,10,
3,40,904004 ,64968 ,168.493 ,1434.965 ,24.025 ,10,
4,0,217515,15951 ,80.9895652,57.180879,29.5867808,10,
4,1,107131,7856 ,103.5077788,27.8022766,17.6911514,10,
4,11,143758,10542 ,65.2117346,88.3000228,33.7088994,10,
4,12,418318,30677 ,229.782542,91.4204094,31.8351436,10,
4,13,766213,56189 ,442.669424,210.523378,49.6354168,10,
4,14,1118100,81994 ,629.584922,243.914158,53.230597,10,
4,15,1413980,103692 ,778.466218,306.943372,59.1561538,10,
4,16,1944920,142627 ,1068.95074,357.916672,48.1955252,10,
4,21,115944,8503 ,37.32908,111.759952,37.9746346,10,
4,22,537678,39430 ,247.361396,149.66747,44.6844258,10,
4,23,891734,65394 ,474.479462,168.231288,44.8000276,10,
4,24,1290650,94648 ,712.966148,227.644516,48.8024662,10,
4,25,1659570,121702 ,920.639758,271.568724,53.7846884,10,
4,27,2292430,168112 ,1209.16334,326.684398,59.4030858,10,
4,28,3209400,235356 ,1639.16972,324.605506,48.9165,10,
4,29,4126370,302600 ,2017.55444,417.349698,62.892627,10,
4,30,5043340,369845 ,2465.90024,510.09389,76.8687762,10,
4,33,478338,35078 ,241.374348,153.142374,48.4690468,10,
4,35,1462710,107265 ,833.788104,191.874436,50.6872624,10,
4,37,2289400,167889 ,1530.09222,267.86526,51.9484846,10,
4,38,3205160,235045 ,2070.9386,226.383074,47.3251472,10,
4,39,4120910,302200 ,2582.72628,291.064746,60.8467368,10,
4,40,5036670,369356 ,3156.66286,355.745418,74.368182,10,
5,0,217515,15951 ,98.9525577,70.63619775,16.1173758,10,
5,1,107131,7856 ,144.1406363,36.95118535,15.52931765,10,
5,11,143758,10542 ,107.3556559,123.3293553,20.91526565,10,
5,12,418318,30677 ,316.1150295,129.1860882,22.8035711,10,
5,13,766213,56189 ,522.756024,251.6751405,29.9621618,10,
5,14,1118100,81994 ,661.5562845,326.7272955,33.25430325,10,
5,15,1413980,103692 ,813.1427305,426.290047,34.34510505,10,
5,16,1944920,142627 ,1247.182365,568.086472,32.2187677,10,
5,21,115944,8503 ,70.804205,129.988002,23.55230585,10,
5,22,537678,39430 ,374.003421,169.8639075,27.00942705,10,
5,23,891734,65394 ,616.0211995,198.987988,28.0040551,10,
5,24,1290650,94648 ,808.718723,287.513291,31.36213995,10,
5,25,1659570,121702 ,1053.086646,352.134699,32.4725609,10,
5,27,2292430,168112 ,1574.203715,500.5197855,35.40771205,10,
5,28,3209400,235356 ,1971.97397,589.5324685,36.858375,10,
5,29,4126370,302600 ,2146.63169,757.9707105,47.38927075,10,
5,30,5043340,369845 ,2623.66624,926.4089525,57.92026245,10,
5,33,478338,35078 ,289.631923,216.4324115,42.7824793,10,
5,35,1462710,107265 ,1199.980454,288.883711,43.4370474,10,
5,37,2289400,167889 ,1847.224595,525.496135,50.85646835,10,
5,38,3205160,235045 ,2278.39735,449.5999865,76.7422522,10,
5,39,4120910,302200 ,2584.00953,578.0577085,98.6689818,10,
5,40,5036670,369356 ,3158.233735,706.5144305,120.5954195,10,
1,0,50504.3,3629.575693,3.36289,48.0036,6.55733,15,
1,1,44775.8,3217.887493,3.14935,50.5846,4.83017,15,
1,11,68796.6,4944.18232,4.92168,60.5288,4.7741,15,
1,12,91161,6551.4372,10.4731,103.247,6.17584,15,
1,13,136904,9838.834133,21.7713,170.457,8.62111,15,
1,14,178445,12824.24733,38.878,251.066,11.3453,15,
1,15,219726,15790.9752,53.966,283.474,13.7107,15,
1,16,278680,20027.80267,75.1205,334.065,17.0784,15,
1,21,85905.2,6173.720373,12.5869,116.484,6.86677,15,
1,22,106001,7617.938533,14.5793,126.538,6.56632,15,
1,23,137152,9856.657067,21.6402,156.637,7.81563,15,
1,24,179301,12885.7652,37.0491,239.911,10.6353,15,
1,25,229111,16465.44387,51.368,249.837,12.1166,15,
1,27,302190,21717.388,86.5461,441.006,18.9369,15,
1,28,407305,29271.65267,135.032,693.808,28.6859,15,
1,29,558209,40116.62013,193.398,1483.9,49.4578,15,
1,30,698612,50206.91573,226.869,4260.11,81.9934,15,
1,33,135619,9746.485467,16.3754,94.8223,6.9997,15,
1,35,215561,15491.65053,46.618,191.299,10.4461,15,
1,37,280641,20168.7332,69.7417,257.308,12.8399,15,
1,38,365929,26298.09747,115.817,652.478,25.5049,15,
1,39,487077,35004.6004,153.265,978.275,27.3141,15,
1,40,622722,44752.9544,202.519,2108.96,35.8183,15,
2,0,71104.73562,5110.060334,4.851042184,88.66479347,10.08203019,15,
2,1,56571.69906,4065.619439,5.16001105,70.00713181,6.977775092,15,
2,11,86981.66839,6251.082568,7.062113684,97.254085,7.186460147,15,
