Vehicle Selection Mode,--,Network-wide,--
,,0_5,137.81
,,45_50, 1.68
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_5,127.77
,,45_50, 1.59
Category,Distance Bin (5 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_5,65058.25
,,45_50,93658.95
Category,Distance Bin (5 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_5,26.17
,,45_50,61.86
Category,Distance Bin (5 ml Interval),Avg Miles per Gallon,
,,0_5,766.52
,,45_50,68282.43
Category,Distance Bin (10 ml Interval),Number of Vehicles,
,,0_10,2486.00
,,40_50,1514.00
Category,Distance Bin (10 ml Interval),Cumulative Number of Vehicles,
,,0_10,2486.00
,,40_50,4000.00
Category,Distance Bin (10 ml Interval),Total Travel Time (min),
,,0_10,65058.25
,,40_50,93658.95
Category,Distance Bin (10 ml Interval),Total Travel Distance (mile),
,,0_10,766.52
,,40_50,68282.43
Category,Distance Bin (10 ml Interval),Avg Travel Time (min),
,,0_10,26.17
,,40_50,61.86
Category,Distance Bin (10 ml Interval),Avg Travel Distance (mile),
,,0_10, 0.31
,,40_50,45.10
Category,Distance Bin (10 ml Interval),Avg Speed (mile/hour),
,,0_10, 0.71
,,40_50,43.74
Category,Distance Bin (10 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_10,84.88
,,40_50, 1.37
Category,Distance Bin (10 ml Interval),Travel Time Index: mean/FFTT,
,,0_10,1250.75
,,40_50, 1.37
Category,Distance Bin (10 ml Interval),Avg Travel Time STD (min),
,,0_10,18.50
,,40_50, 9.39
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time (min),
,,0_10,69.87
,,40_50,77.84
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time (min),
,,0_10,42.49
,,40_50,75.69
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time (min),
,,0_10,39.39
,,40_50,71.60
Category,Distance Bin (10 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_10,3339.32
,,40_50, 1.73
Category,Distance Bin (10 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_10, 1.67
,,40_50, 0.26
Category,Distance Bin (10 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_10, 0.94
,,40_50, 1.32
Category,Distance Bin (10 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_10,60.00
,,40_50, 0.21
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_10,226.61
,,40_50, 1.73
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_10,137.81
,,40_50, 1.68
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_10,127.77
,,40_50, 1.59
Category,Distance Bin (10 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_10,65058.25
,,40_50,93658.95
Category,Distance Bin (10 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_10,26.17
,,40_50,61.86
Category,Distance Bin (10 ml Interval),Avg Miles per Gallon,
,,0_10,766.52
,,40_50,68282.43
Category,Travel Time Bin (2 min Interval),Number of Vehicles,
,,0_2,90.00
,,2_4,110.00
,,4_6,109.00
,,6_8,109.00
,,8_10,109.00
,,10_12,105.00
,,12_14,104.00
,,14_16,99.00
,,16_18,94.00
,,18_20,102.00
,,20_22,100.00
,,22_24,99.00
,,24_26,102.00
,,26_28,99.00
,,28_30,100.00
,,30_32,98.00
,,32_34,98.00
,,34_36,98.00
,,36_38,99.00
,,38_40,107.00
,,40_42,167.00
,,42_44,75.00
,,44_46,23.00
,,46_48,79.00
,,48_50,101.00
,,50_52,114.00
,,52_54,124.00
,,54_56,130.00
,,56_58,116.00
,,58_60,99.00
,,60_62,99.00
,,62_64,95.00
,,64_66,90.00
,,66_68,95.00
,,68_70,77.00
,,70_72,79.00
,,72_74,78.00
,,74_76,74.00
,,76_78,74.00
,,78_80,82.00
,,80_82,45.00
,,82_84,32.00
,,84_86,21.00
Category,Travel Time Bin (2 min Interval),Cumulative Number of Vehicles,
,,0_2,90.00
,,2_4,200.00
,,4_6,309.00
,,6_8,418.00
,,8_10,527.00
,,10_12,632.00
,,12_14,736.00
,,14_16,835.00
,,16_18,929.00
,,18_20,1031.00
,,20_22,1131.00
,,22_24,1230.00
,,24_26,1332.00
,,26_28,1431.00
,,28_30,1531.00
,,30_32,1629.00
,,32_34,1727.00
,,34_36,1825.00
,,36_38,1924.00
,,38_40,2031.00
,,40_42,2198.00
,,42_44,2273.00
,,44_46,2296.00
,,46_48,2375.00
,,48_50,2476.00
,,50_52,2590.00
,,52_54,2714.00
,,54_56,2844.00
,,56_58,2960.00
,,58_60,3059.00
,,60_62,3158.00
,,62_64,3253.00
,,64_66,3343.00
,,66_68,3438.00
,,68_70,3515.00
,,70_72,3594.00
,,72_74,3672.00
,,74_76,3746.00
,,76_78,3820.00
,,78_80,3902.00
,,80_82,3947.00
,,82_84,3979.00
,,84_86,4000.00
Category,Travel Time Bin (2 min Interval),Total Travel Time (min),
,,0_2,104.86
,,2_4,330.09
,,4_6,545.90
,,6_8,763.72
,,8_10,981.54
,,10_12,1152.40
,,12_14,1351.01
,,14_16,1484.69
,,16_18,1594.87
,,18_20,1937.53
,,20_22,2099.85
,,22_24,2275.91
,,24_26,2550.47
,,26_28,2672.26
,,28_30,2896.35
,,30_32,3038.46
,,32_34,3234.77
,,34_36,3431.04
,,36_38,3663.45
,,38_40,4186.90
,,40_42,6858.57
,,42_44,3198.00
,,44_46,1038.68
,,46_48,3735.35
,,48_50,4952.29
,,50_52,5812.23
,,52_54,6584.06
,,54_56,7138.57
,,56_58,6607.28
,,58_60,5840.28
,,60_62,6034.15
,,62_64,5982.79
,,64_66,5851.88
,,66_68,6361.95
,,68_70,5314.07
,,70_72,5611.45
,,72_74,5698.25
,,74_76,5549.27
,,76_78,5695.90
,,78_80,6483.89
,,80_82,3632.54
,,82_84,2655.02
,,84_86,1784.81
Category,Travel Time Bin (2 min Interval),Total Travel Distance (mile),
,,0_2,27.75
,,2_4,33.92
,,4_6,33.61
,,6_8,33.61
,,8_10,33.61
,,10_12,32.37
,,12_14,32.07
,,14_16,30.52
,,16_18,28.98
,,18_20,31.45
,,20_22,30.83
,,22_24,30.52
,,24_26,31.45
,,26_28,30.52
,,28_30,30.83
,,30_32,30.22
,,32_34,30.22
,,34_36,30.22
,,36_38,30.52
,,38_40,32.99
,,40_42,51.49
,,42_44,23.12
,,44_46,231.05
,,46_48,3114.99
,,48_50,4017.60
,,50_52,4514.32
,,52_54,5368.45
,,54_56,5683.84
,,56_58,4918.06
,,58_60,4196.15
,,60_62,4285.74
,,62_64,4194.92
,,64_66,3969.42
,,66_68,4194.92
,,68_70,3338.33
,,70_72,3428.53
,,72_74,3293.84
,,74_76,3203.03
,,76_78,3203.03
,,78_80,2981.53
,,80_82,193.04
,,82_84, 9.87
,,84_86, 6.48
Category,Travel Time Bin (2 min Interval),Avg Travel Time (min),
,,0_2, 1.17
,,2_4, 3.00
,,4_6, 5.01
,,6_8, 7.01
,,8_10, 9.00
,,10_12,10.98
,,12_14,12.99
,,14_16,15.00
,,16_18,16.97
,,18_20,19.00
,,20_22,21.00
,,22_24,22.99
,,24_26,25.00
,,26_28,26.99
,,28_30,28.96
,,30_32,31.00
,,32_34,33.01
,,34_36,35.01
,,36_38,37.00
,,38_40,39.13
,,40_42,41.07
,,42_44,42.64
,,44_46,45.16
,,46_48,47.28
,,48_50,49.03
,,50_52,50.98
,,52_54,53.10
,,54_56,54.91
,,56_58,56.96
,,58_60,58.99
,,60_62,60.95
,,62_64,62.98
,,64_66,65.02
,,66_68,66.97
,,68_70,69.01
,,70_72,71.03
,,72_74,73.05
,,74_76,74.99
,,76_78,76.97
,,78_80,79.07
,,80_82,80.72
,,82_84,82.97
,,84_86,84.99
Category,Travel Time Bin (2 min Interval),Avg Travel Distance (mile),
,,0_2, 0.31
,,2_4, 0.31
,,4_6, 0.31
,,6_8, 0.31
,,8_10, 0.31
,,10_12, 0.31
,,12_14, 0.31
,,14_16, 0.31
,,16_18, 0.31
,,18_20, 0.31
,,20_22, 0.31
,,22_24, 0.31
,,24_26, 0.31
,,26_28, 0.31
,,28_30, 0.31
,,30_32, 0.31
,,32_34, 0.31
,,34_36, 0.31
,,36_38, 0.31
,,38_40, 0.31
,,40_42, 0.31
,,42_44, 0.31
,,44_46,10.05
,,46_48,39.43
,,48_50,39.78
,,50_52,39.60
,,52_54,43.29
,,54_56,43.72
,,56_58,42.40
,,58_60,42.39
,,60_62,43.29
,,62_64,44.16
,,64_66,44.10
,,66_68,44.16
,,68_70,43.35
,,70_72,43.40
,,72_74,42.23
,,74_76,43.28
,,76_78,43.28
,,78_80,36.36
,,80_82, 4.29
,,82_84, 0.31
,,84_86, 0.31
Category,Travel Time Bin (2 min Interval),Avg Speed (mile/hour),
,,0_2,15.88
,,2_4, 6.16
,,4_6, 3.69
,,6_8, 2.64
,,8_10, 2.05
,,10_12, 1.69
,,12_14, 1.42
,,14_16, 1.23
,,16_18, 1.09
,,18_20, 0.97
,,20_22, 0.88
,,22_24, 0.80
,,24_26, 0.74
,,26_28, 0.69
,,28_30, 0.64
,,30_32, 0.60
,,32_34, 0.56
,,34_36, 0.53
,,36_38, 0.50
,,38_40, 0.47
,,40_42, 0.45
,,42_44, 0.43
,,44_46,13.35
,,46_48,50.04
,,48_50,48.68
,,50_52,46.60
,,52_54,48.92
,,54_56,47.77
,,56_58,44.66
,,58_60,43.11
,,60_62,42.61
,,62_64,42.07
,,64_66,40.70
,,66_68,39.56
,,68_70,37.69
,,70_72,36.66
,,72_74,34.68
,,74_76,34.63
,,76_78,33.74
,,78_80,27.59
,,80_82, 3.19
,,82_84, 0.22
,,84_86, 0.22
Category,Travel Time Bin (2 min Interval),Avg Travel Time Per Mile (min/mile),
,,0_2, 3.78
,,2_4, 9.73
,,4_6,16.24
,,6_8,22.72
,,8_10,29.21
,,10_12,35.60
,,12_14,42.13
,,14_16,48.64
,,16_18,55.03
,,18_20,61.61
,,20_22,68.10
,,22_24,74.56
,,24_26,81.10
,,26_28,87.54
,,28_30,93.94
,,30_32,100.56
,,32_34,107.05
,,34_36,113.55
,,36_38,120.01
,,38_40,126.91
,,40_42,133.20
,,42_44,138.29
,,44_46,114.37
,,46_48,20.19
,,48_50,19.84
,,50_52,21.22
,,52_54, 8.04
,,54_56, 6.66
,,56_58,12.38
,,58_60,12.79
,,60_62, 9.24
,,62_64, 5.66
,,64_66, 6.11
,,66_68, 6.01
,,68_70,10.19
,,70_72,10.29
,,72_74,16.73
,,74_76,11.42
,,76_78,11.74
,,78_80,51.46
,,80_82,238.88
,,82_84,269.09
,,84_86,275.65
Category,Travel Time Bin (2 min Interval),Travel Time Index: mean/FFTT,
,,0_2,55.69
,,2_4,143.42
,,4_6,239.37
,,6_8,334.88
,,8_10,430.38
,,10_12,524.55
,,12_14,620.87
,,14_16,716.76
,,16_18,810.91
,,18_20,907.87
,,20_22,1003.60
,,22_24,1098.74
,,24_26,1195.08
,,26_28,1290.08
,,28_30,1384.29
,,30_32,1481.85
,,32_34,1577.58
,,34_36,1673.30
,,36_38,1768.60
,,38_40,1870.18
,,40_42,1962.87
,,42_44,2037.95
,,44_46, 4.61
,,46_48, 1.20
,,48_50, 1.24
,,50_52, 1.29
,,52_54, 1.23
,,54_56, 1.26
,,56_58, 1.35
,,58_60, 1.40
,,60_62, 1.41
,,62_64, 1.43
,,64_66, 1.48
,,66_68, 1.52
,,68_70, 1.60
,,70_72, 1.64
,,72_74, 1.73
,,74_76, 1.74
,,76_78, 1.78
,,78_80, 2.18
,,80_82,20.08
,,82_84,3965.45
,,84_86,4062.07
Category,Travel Time Bin (2 min Interval),Avg Travel Time STD (min),
,,0_2, 0.48
,,2_4, 0.58
,,4_6, 0.58
,,6_8, 0.58
,,8_10, 0.58
,,10_12, 0.57
,,12_14, 0.57
,,14_16, 0.56
,,16_18, 0.58
,,18_20, 0.58
,,20_22, 0.58
,,22_24, 0.58
,,24_26, 0.59
,,26_28, 0.58
,,28_30, 0.57
,,30_32, 0.57
,,32_34, 0.58
,,34_36, 0.58
,,36_38, 0.59
,,38_40, 0.56
,,40_42, 0.62
,,42_44, 0.55
,,44_46, 0.66
,,46_48, 0.47
,,48_50, 0.59
,,50_52, 0.57
,,52_54, 0.58
,,54_56, 0.59
,,56_58, 0.53
,,58_60, 0.56
,,60_62, 0.58
,,62_64, 0.58
,,64_66, 0.60
,,66_68, 0.57
,,68_70, 0.57
,,70_72, 0.58
,,72_74, 0.57
,,74_76, 0.60
,,76_78, 0.60
,,78_80, 0.59
,,80_82, 0.51
,,82_84, 0.53
,,84_86, 0.49
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time (min),
,,0_2, 1.91
,,2_4, 3.90
,,4_6, 5.91
,,6_8, 7.90
,,8_10, 9.90
,,10_12,11.89
,,12_14,13.90
,,14_16,15.90
,,16_18,17.89
,,18_20,19.88
,,20_22,21.89
,,22_24,23.89
,,24_26,25.89
,,26_28,27.89
,,28_30,29.86
,,30_32,31.92
,,32_34,33.92
,,34_36,35.91
,,36_38,37.90
,,38_40,39.93
,,40_42,41.96
,,42_44,43.78
,,44_46,45.97
,,46_48,47.86
,,48_50,49.88
,,50_52,51.91
,,52_54,53.96
,,54_56,55.89
,,56_58,57.88
,,58_60,59.91
,,60_62,61.90
,,62_64,63.90
,,64_66,65.93
,,66_68,67.85
,,68_70,69.91
,,70_72,71.93
,,72_74,73.90
,,74_76,75.92
,,76_78,77.90
,,78_80,79.95
,,80_82,81.72
,,82_84,83.91
,,84_86,85.63
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time (min),
,,0_2, 1.84
,,2_4, 3.82
,,4_6, 5.81
,,6_8, 7.81
,,8_10, 9.82
,,10_12,11.76
,,12_14,13.74
,,14_16,15.79
,,16_18,17.80
,,18_20,19.78
,,20_22,21.80
,,22_24,23.78
,,24_26,25.80
,,26_28,27.78
,,28_30,29.77
,,30_32,31.78
,,32_34,33.83
,,34_36,35.83
,,36_38,37.80
,,38_40,39.82
,,40_42,41.90
,,42_44,43.57
,,44_46,45.96
,,46_48,47.74
,,48_50,49.82
,,50_52,51.78
,,52_54,53.91
,,54_56,55.76
,,56_58,57.71
,,58_60,59.77
,,60_62,61.79
,,62_64,63.73
,,64_66,65.86
,,66_68,67.76
,,68_70,69.82
,,70_72,71.85
,,72_74,73.80
,,74_76,75.81
,,76_78,77.79
,,78_80,79.87
,,80_82,81.38
,,82_84,83.72
,,84_86,85.56
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time (min),
,,0_2, 1.67
,,2_4, 3.61
,,4_6, 5.61
,,6_8, 7.61
,,8_10, 9.61
,,10_12,11.59
,,12_14,13.59
,,14_16,15.56
,,16_18,17.55
,,18_20,19.60
,,20_22,21.62
,,22_24,23.60
,,24_26,25.62
,,26_28,27.59
,,28_30,29.59
,,30_32,31.58
,,32_34,33.65
,,34_36,35.62
,,36_38,37.62
,,38_40,39.72
,,40_42,41.73
,,42_44,43.20
,,44_46,45.86
,,46_48,47.67
,,48_50,49.67
,,50_52,51.58
,,52_54,53.68
,,54_56,55.56
,,56_58,57.53
,,58_60,59.58
,,60_62,61.58
,,62_64,63.55
,,64_66,65.61
,,66_68,67.54
,,68_70,69.59
,,70_72,71.67
,,72_74,73.65
,,74_76,75.62
,,76_78,77.64
,,78_80,79.72
,,80_82,81.21
,,82_84,83.47
,,84_86,85.45
Category,Travel Time Bin (2 min Interval),Planning Time Index: 95th percentile/FFTT,
,,0_2,91.29
,,2_4,186.63
,,4_6,282.46
,,6_8,377.81
,,8_10,473.16
,,10_12,568.51
,,12_14,664.58
,,14_16,760.16
,,16_18,855.27
,,18_20,950.15
,,20_22,1046.45
,,22_24,1142.04
,,24_26,1237.63
,,26_28,1333.22
,,28_30,1427.37
,,30_32,1525.83
,,32_34,1621.42
,,34_36,1716.53
,,36_38,1811.40
,,38_40,1908.42
,,40_42,2005.20
,,42_44,2092.67
,,44_46, 4.69
,,46_48, 1.22
,,48_50, 1.26
,,50_52, 1.31
,,52_54, 1.25
,,54_56, 1.28
,,56_58, 1.37
,,58_60, 1.42
,,60_62, 1.43
,,62_64, 1.45
,,64_66, 1.50
,,66_68, 1.54
,,68_70, 1.62
,,70_72, 1.66
,,72_74, 1.75
,,74_76, 1.76
,,76_78, 1.80
,,78_80, 2.21
,,80_82,20.33
,,82_84,4010.17
,,84_86,4092.61
Category,Travel Time Bin (2 min Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_2, 0.64
,,2_4, 0.30
,,4_6, 0.18
,,6_8, 0.13
,,8_10, 0.10
,,10_12, 0.08
,,12_14, 0.07
,,14_16, 0.06
,,16_18, 0.05
,,18_20, 0.05
,,20_22, 0.04
,,22_24, 0.04
,,24_26, 0.04
,,26_28, 0.03
,,28_30, 0.03
,,30_32, 0.03
,,32_34, 0.03
,,34_36, 0.03
,,36_38, 0.02
,,38_40, 0.02
,,40_42, 0.02
,,42_44, 0.03
,,44_46, 0.02
,,46_48, 0.01
,,48_50, 0.02
,,50_52, 0.02
,,52_54, 0.02
,,54_56, 0.02
,,56_58, 0.02
,,58_60, 0.02
,,60_62, 0.02
,,62_64, 0.01
,,64_66, 0.01
,,66_68, 0.01
,,68_70, 0.01
,,70_72, 0.01
,,72_74, 0.01
,,74_76, 0.01
,,76_78, 0.01
,,78_80, 0.01
,,80_82, 0.01
,,82_84, 0.01
Category,Travel Time Bin (2 min Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_2, 1.00
,,2_4, 1.00
,,4_6, 1.01
,,6_8, 0.99
,,8_10, 1.00
,,10_12, 1.02
,,12_14, 0.89
,,14_16, 0.98
,,16_18, 1.11
,,18_20, 0.94
,,20_22, 1.00
,,22_24, 1.00
,,24_26, 0.89
,,26_28, 0.98
,,28_30, 1.12
,,30_32, 0.93
,,32_34, 1.10
,,34_36, 1.02
,,36_38, 0.87
,,38_40, 0.77
,,40_42, 0.86
,,42_44, 2.94
,,44_46, 0.71
,,46_48, 0.33
,,48_50, 0.84
,,50_52, 1.12
,,52_54, 0.89
,,54_56, 1.12
,,56_58, 1.34
,,58_60, 1.12
,,60_62, 1.12
,,62_64, 0.82
,,64_66, 0.91
,,66_68, 0.94
,,68_70, 0.99
,,70_72, 1.16
,,72_74, 0.80
,,74_76, 0.89
,,76_78, 1.01
,,78_80, 0.74
,,80_82, 1.48
,,82_84, 1.49
,,84_86, 0.77
Category,Travel Time Bin (2 min Interval),Travel Time Per Mile STD (min/mile),
,,0_2, 1.56
,,2_4, 1.89
,,4_6, 1.87
,,6_8, 1.87
,,8_10, 1.87
,,10_12, 1.84
,,12_14, 1.86
,,14_16, 1.83
,,16_18, 1.87
,,18_20, 1.88
,,20_22, 1.87
,,22_24, 1.89
,,24_26, 1.90
,,26_28, 1.87
,,28_30, 1.85
,,30_32, 1.85
,,32_34, 1.89
,,34_36, 1.88
,,36_38, 1.90
,,38_40, 1.82
,,40_42, 2.00
,,42_44, 1.80
,,44_46,59.77
,,46_48,50.27
,,48_50,51.06
,,50_52,53.70
,,52_54,33.47
,,54_56,30.54
,,56_58,43.85
,,58_60,45.22
,,60_62,38.44
,,62_64,29.04
,,64_66,30.94
,,66_68,30.86
,,68_70,43.01
,,70_72,43.85
,,72_74,57.75
,,74_76,47.47
,,76_78,48.83
,,78_80,100.97
,,80_82,74.08
,,82_84, 1.70
,,84_86, 1.58
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_2, 6.19
,,2_4,12.66
,,4_6,19.17
,,6_8,25.64
,,8_10,32.11
,,10_12,38.58
,,12_14,45.10
,,14_16,51.58
,,16_18,58.04
,,18_20,64.48
,,20_22,71.01
,,22_24,77.50
,,24_26,83.98
,,26_28,90.47
,,28_30,96.86
,,30_32,103.54
,,32_34,110.03
,,34_36,116.48
,,36_38,122.92
,,38_40,129.50
,,40_42,136.07
,,42_44,142.01
,,44_46,148.75
,,46_48,153.11
,,48_50,158.69
,,50_52,164.84
,,52_54, 1.20
,,54_56, 1.24
,,56_58,184.36
,,58_60,189.92
,,60_62, 1.37
,,62_64, 1.42
,,64_66, 1.46
,,66_68, 1.51
,,68_70, 1.55
,,70_72, 1.60
,,72_74,236.50
,,74_76, 1.69
,,76_78, 1.73
,,78_80,258.75
,,80_82,265.05
,,82_84,272.12
,,84_86,277.72
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_2, 5.97
,,2_4,12.39
,,4_6,18.86
,,6_8,25.33
,,8_10,31.83
,,10_12,38.12
,,12_14,44.56
,,14_16,51.23
,,16_18,57.73
,,18_20,64.17
,,20_22,70.70
,,22_24,77.14
,,24_26,83.68
,,26_28,90.11
,,28_30,96.55
,,30_32,103.09
,,32_34,109.72
,,34_36,116.21
,,36_38,122.61
,,38_40,129.15
,,40_42,135.91
,,42_44,141.29
,,44_46,148.52
,,46_48,151.14
,,48_50,156.50
,,50_52,163.36
,,52_54, 1.20
,,54_56, 1.24
,,56_58, 1.28
,,58_60, 1.33
,,60_62, 1.37
,,62_64, 1.42
,,64_66, 1.46
,,66_68, 1.50
,,68_70, 1.55
,,70_72, 1.59
,,72_74, 1.64
,,74_76, 1.68
,,76_78, 1.73
,,78_80,256.43
,,80_82,263.95
,,82_84,271.54
,,84_86,277.49
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_2, 5.43
,,2_4,11.72
,,4_6,18.19
,,6_8,24.70
,,8_10,31.17
,,10_12,37.59
,,12_14,44.08
,,14_16,50.46
,,16_18,56.92
,,18_20,63.58
,,20_22,70.12
,,22_24,76.56
,,24_26,83.09
,,26_28,89.48
,,28_30,95.97
,,30_32,102.42
,,32_34,109.14
,,34_36,115.54
,,36_38,122.03
,,38_40,128.81
,,40_42,135.36
,,42_44,140.09
,,44_46,147.52
,,46_48, 1.06
,,48_50, 1.10
,,50_52, 1.15
,,52_54, 1.19
,,54_56, 1.23
,,56_58, 1.28
,,58_60, 1.32
,,60_62, 1.37
,,62_64, 1.41
,,64_66, 1.46
,,66_68, 1.50
,,68_70, 1.54
,,70_72, 1.59
,,72_74, 1.63
,,74_76, 1.68
,,76_78, 1.72
,,78_80, 1.77
,,80_82,263.38
,,82_84,270.71
,,84_86,277.12
Category,Travel Time Bin (2 min Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_2,104.86
,,2_4,330.09
,,4_6,545.90
,,6_8,763.72
,,8_10,981.54
,,10_12,1152.40
,,12_14,1351.01
,,14_16,1484.69
,,16_18,1594.87
,,18_20,1937.53
,,20_22,2099.85
,,22_24,2275.91
,,24_26,2550.47
,,26_28,2672.26
,,28_30,2896.35
,,30_32,3038.46
,,32_34,3234.77
,,34_36,3431.04
,,36_38,3663.45
,,38_40,4186.90
,,40_42,6858.57
,,42_44,3198.00
,,44_46,1038.68
,,46_48,3735.35
,,48_50,4952.29
,,50_52,5812.23
,,52_54,6584.06
,,54_56,7138.57
,,56_58,6607.28
,,58_60,5840.28
,,60_62,6034.15
,,62_64,5982.79
,,64_66,5851.88
,,66_68,6361.95
,,68_70,5314.07
,,70_72,5611.45
,,72_74,5698.25
,,74_76,5549.27
,,76_78,5695.90
,,78_80,6483.89
,,80_82,3632.54
,,82_84,2655.02
,,84_86,1784.81
Category,Travel Time Bin (2 min Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_2, 1.17
,,2_4, 3.00
,,4_6, 5.01
,,6_8, 7.01
,,8_10, 9.00
,,10_12,10.98
,,12_14,12.99
,,14_16,15.00
,,16_18,16.97
,,18_20,19.00
,,20_22,21.00
,,22_24,22.99
,,24_26,25.00
,,26_28,26.99
,,28_30,28.96
,,30_32,31.00
,,32_34,33.01
,,34_36,35.01
,,36_38,37.00
,,38_40,39.13
,,40_42,41.07
,,42_44,42.64
,,44_46,45.16
,,46_48,47.28
,,48_50,49.03
,,50_52,50.98
,,52_54,53.10
,,54_56,54.91
,,56_58,56.96
,,58_60,58.99
,,60_62,60.95
,,62_64,62.98
,,64_66,65.02
,,66_68,66.97
,,68_70,69.01
,,70_72,71.03
,,72_74,73.05
,,74_76,74.99
,,76_78,76.97
,,78_80,79.07
,,80_82,80.72
,,82_84,82.97
,,84_86,84.99
Category,Travel Time Bin (2 min Interval),Avg Miles per Gallon,
,,0_2,27.75
,,2_4,33.92
,,4_6,33.61
,,6_8,33.61
,,8_10,33.61
,,10_12,32.37
,,12_14,32.07
,,14_16,30.52
,,16_18,28.98
,,18_20,31.45
,,20_22,30.83
,,22_24,30.52
,,24_26,31.45
,,26_28,30.52
,,28_30,30.83
,,30_32,30.22
,,32_34,30.22
,,34_36,30.22
,,36_38,30.52
,,38_40,32.99
,,40_42,51.49
,,42_44,23.12
,,44_46,231.05
,,46_48,3114.99
,,48_50,4017.60
,,50_52,4514.32
,,52_54,5368.45
,,54_56,5683.84
,,56_58,4918.06
,,58_60,4196.15
,,60_62,4285.74
,,62_64,4194.92
,,64_66,3969.42
,,66_68,4194.92
,,68_70,3338.33
,,70_72,3428.53
,,72_74,3293.84
,,74_76,3203.03
,,76_78,3203.03
,,78_80,2981.53
,,80_82,193.04
,,82_84, 9.87
,,84_86, 6.48
Category,Travel Time Bin (5 min Interval),Number of Vehicles,
,,0_5,254.00
,,5_10,273.00
,,10_15,258.00
,,15_20,246.00
,,20_25,249.00
,,25_30,251.00
,,30_35,245.00
,,35_40,255.00
,,40_45,252.00
,,45_50,193.00
,,50_55,313.00
,,55_60,270.00
,,60_65,238.00
,,65_70,218.00
,,70_75,193.00
,,75_80,194.00
,,80_85,86.00
,,85_90,12.00
Category,Travel Time Bin (5 min Interval),Cumulative Number of Vehicles,
,,0_5,254.00
,,5_10,527.00
,,10_15,785.00
,,15_20,1031.00
,,20_25,1280.00
,,25_30,1531.00
,,30_35,1776.00
,,35_40,2031.00
,,40_45,2283.00
,,45_50,2476.00
,,50_55,2789.00
,,55_60,3059.00
,,60_65,3297.00
,,65_70,3515.00
,,70_75,3708.00
,,75_80,3902.00
,,80_85,3988.00
,,85_90,4000.00
Category,Travel Time Bin (5 min Interval),Total Travel Time (min),
,,0_5,678.17
,,5_10,2047.94
,,10_15,3214.34
,,15_20,4306.16
,,20_25,5600.20
,,25_30,6894.63
,,30_35,7964.15
,,35_40,9590.49
,,40_45,10501.44
,,45_50,9281.45
,,50_55,16482.04
,,55_60,15500.38
,,60_65,14854.14
,,65_70,14690.70
,,70_75,13989.91
,,75_80,15048.86
,,80_85,7048.05
,,85_90,1024.33
Category,Travel Time Bin (5 min Interval),Total Travel Distance (mile),
,,0_5,78.32
,,5_10,84.18
,,10_15,79.55
,,15_20,75.85
,,20_25,76.78
,,25_30,77.39
,,30_35,75.54
,,35_40,78.63
,,40_45,77.70
,,45_50,7360.55
,,50_55,13175.65
,,55_60,11505.11
,,60_65,10420.25
,,65_70,9563.05
,,70_75,8256.40
,,75_80,7853.58
,,80_85,205.68
,,85_90, 3.70
Category,Travel Time Bin (5 min Interval),Avg Travel Time (min),
,,0_5, 2.67
,,5_10, 7.50
,,10_15,12.46
,,15_20,17.50
,,20_25,22.49
,,25_30,27.47
,,30_35,32.51
,,35_40,37.61
,,40_45,41.67
,,45_50,48.09
,,50_55,52.66
,,55_60,57.41
,,60_65,62.41
,,65_70,67.39
,,70_75,72.49
,,75_80,77.57
,,80_85,81.95
,,85_90,85.36
Category,Travel Time Bin (5 min Interval),Avg Travel Distance (mile),
,,0_5, 0.31
,,5_10, 0.31
,,10_15, 0.31
,,15_20, 0.31
,,20_25, 0.31
,,25_30, 0.31
