Vehicle Selection Mode,--,Network-wide,--
Category,15-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,14:00_14:15, 1.07
,,14:15_14:30, 1.03
,,14:30_14:45, 0.68
,,14:45_15:00, 1.29
Category,15-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,14:00_14:15,17.69
,,14:15_14:30,18.93
,,14:30_14:45,85.18
,,14:45_15:00,59.85
Category,15-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,14:00_14:15,59.61
,,14:15_14:30,125.35
,,14:30_14:45,255.34
,,14:45_15:00,259.95
,,15:00_15:15,259.46
Category,15-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,14:00_14:15,56.21
,,14:15_14:30,121.72
,,14:30_14:45,173.45
,,14:45_15:00, 1.75
,,15:00_15:15,259.46
Category,15-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,14:00_14:15,49.52
,,14:15_14:30,115.14
,,14:30_14:45,137.38
,,14:45_15:00, 1.68
,,15:00_15:15,259.46
Category,15-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,14:00_14:15,9616.75
,,14:15_14:30,29406.57
,,14:30_14:45,51113.66
,,14:45_15:00,68500.46
,,15:00_15:15,80.00
Category,15-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,14:00_14:15, 9.63
,,14:15_14:30,29.41
,,14:30_14:45,51.11
,,14:45_15:00,68.50
,,15:00_15:15,80.00
Category,15-min Departure Time Interval,Avg Miles per Gallon,
,,14:00_14:15,308.02
,,14:15_14:30,308.33
,,14:30_14:45,25749.91
,,14:45_15:00,42681.40
,,15:00_15:15, 0.31
Category,30-min Departure Time Interval,Number of Vehicles,
,,14:00_14:30,1999.00
,,14:30_15:00,2000.00
,,15:00_15:30, 1.00
Category,30-min Departure Time Interval,Cumulative Number of Vehicles,
,,14:00_14:30,1999.00
,,14:30_15:00,3999.00
,,15:00_15:30,4000.00
Category,30-min Departure Time Interval,Total Travel Time (min),
,,14:00_14:30,39023.27
,,14:30_15:00,119613.96
,,15:00_15:30,80.00
Category,30-min Departure Time Interval,Total Travel Distance (mile),
,,14:00_14:30,616.35
,,14:30_15:00,68432.32
,,15:00_15:30, 0.31
Category,30-min Departure Time Interval,Avg Travel Time (min),
,,14:00_14:30,19.52
,,14:30_15:00,59.81
,,15:00_15:30,80.00
Category,30-min Departure Time Interval,Avg Travel Distance (mile),
,,14:00_14:30, 0.31
,,14:30_15:00,34.22
,,15:00_15:30, 0.31
Category,30-min Departure Time Interval,Avg Speed (mile/hour),
,,14:00_14:30, 0.95
,,14:30_15:00,34.33
,,15:00_15:30, 0.23
Category,30-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,14:00_14:30,63.31
,,14:30_15:00,43.13
,,15:00_15:30,259.46
Category,30-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,14:00_14:30,933.00
,,14:30_15:00, 1.75
,,15:00_15:30,3823.53
Category,30-min Departure Time Interval,Avg Travel Time STD (min),
,,14:00_14:30,11.39
,,14:30_15:00,12.24
Category,30-min Departure Time Interval,95th Percentile Travel Time (min),
,,14:00_14:30,37.53
,,14:30_15:00,79.97
,,15:00_15:30,80.00
Category,30-min Departure Time Interval,90th Percentile Travel Time (min),
,,14:00_14:30,35.50
,,14:30_15:00,77.46
,,15:00_15:30,80.00
Category,30-min Departure Time Interval,80th Percentile Travel Time (min),
,,14:00_14:30,31.40
,,14:30_15:00,72.14
,,15:00_15:30,80.00
Category,30-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,14:00_14:30,1793.69
,,14:30_15:00, 2.35
,,15:00_15:30,3823.53
Category,30-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,14:00_14:30, 0.92
,,14:30_15:00, 0.34
Category,30-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,14:00_14:30, 1.05
,,14:30_15:00, 1.11
Category,30-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,14:00_14:30,36.94
,,14:30_15:00,78.53
Category,30-min Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,14:00_14:30,121.72
,,14:30_15:00,257.03
,,15:00_15:30,259.46
Category,30-min Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,14:00_14:30,115.14
,,14:30_15:00,147.24
,,15:00_15:30,259.46
Category,30-min Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,14:00_14:30,101.84
,,14:30_15:00,132.08
,,15:00_15:30,259.46
Category,30-min Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,14:00_14:30,39023.27
,,14:30_15:00,119613.96
,,15:00_15:30,80.00
Category,30-min Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,14:00_14:30,19.52
,,14:30_15:00,59.81
,,15:00_15:30,80.00
Category,30-min Departure Time Interval,Avg Miles per Gallon,
,,14:00_14:30,616.35
,,14:30_15:00,68432.32
,,15:00_15:30, 0.31
Category,1-hour Departure Time Interval,Number of Vehicles,
,,14:00_15:00,3999.00
,,15:00_16:00, 1.00
Category,1-hour Departure Time Interval,Cumulative Number of Vehicles,
,,14:00_15:00,3999.00
,,15:00_16:00,4000.00
Category,1-hour Departure Time Interval,Total Travel Time (min),
,,14:00_15:00,158637.44
,,15:00_16:00,80.00
Category,1-hour Departure Time Interval,Total Travel Distance (mile),
,,14:00_15:00,69048.70
,,15:00_16:00, 0.31
Category,1-hour Departure Time Interval,Avg Travel Time (min),
,,14:00_15:00,39.67
,,15:00_16:00,80.00
Category,1-hour Departure Time Interval,Avg Travel Distance (mile),
,,14:00_15:00,17.27
,,15:00_16:00, 0.31
Category,1-hour Departure Time Interval,Avg Speed (mile/hour),
,,14:00_15:00,26.12
,,15:00_16:00, 0.23
Category,1-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,14:00_15:00,53.22
,,15:00_16:00,259.46
Category,1-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,14:00_15:00, 2.33
,,15:00_16:00,3823.53
Category,1-hour Departure Time Interval,Avg Travel Time STD (min),23.36
Category,1-hour Departure Time Interval,95th Percentile Travel Time (min),
,,14:00_15:00,77.46
,,15:00_16:00,80.00
Category,1-hour Departure Time Interval,90th Percentile Travel Time (min),
,,14:00_15:00,72.14
,,15:00_16:00,80.00
Category,1-hour Departure Time Interval,80th Percentile Travel Time (min),
,,14:00_15:00,62.83
,,15:00_16:00,80.00
Category,1-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,14:00_15:00, 4.54
,,15:00_16:00,3823.53
Category,1-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.95
Category,1-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile), 1.02
Category,1-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),62.19
Category,1-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,14:00_15:00,147.24
,,15:00_16:00,259.46
Category,1-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,14:00_15:00,132.08
,,15:00_16:00,259.46
Category,1-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,14:00_15:00,107.43
,,15:00_16:00,259.46
Category,1-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,14:00_15:00,158637.44
,,15:00_16:00,80.00
Category,1-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,14:00_15:00,39.67
,,15:00_16:00,80.00
Category,1-hour Departure Time Interval,Avg Miles per Gallon,
,,14:00_15:00,69048.70
,,15:00_16:00, 0.31
Category,2-hour Departure Time Interval,Number of Vehicles,4000.00
Category,2-hour Departure Time Interval,Cumulative Number of Vehicles,4000.00
Category,2-hour Departure Time Interval,Total Travel Time (min),158717.44
Category,2-hour Departure Time Interval,Total Travel Distance (mile),69049.00
Category,2-hour Departure Time Interval,Avg Travel Time (min),39.68
Category,2-hour Departure Time Interval,Avg Travel Distance (mile),17.26
Category,2-hour Departure Time Interval,Avg Speed (mile/hour),26.10
Category,2-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),53.27
Category,2-hour Departure Time Interval,Travel Time Index: mean/FFTT, 2.33
Category,2-hour Departure Time Interval,Avg Travel Time STD (min),23.36
Category,2-hour Departure Time Interval,95th Percentile Travel Time (min),77.47
Category,2-hour Departure Time Interval,90th Percentile Travel Time (min),72.18
Category,2-hour Departure Time Interval,80th Percentile Travel Time (min),62.85
Category,2-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT, 4.54
Category,2-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.95
Category,2-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile), 1.02
Category,2-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),62.27
Category,2-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),147.52
Category,2-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),132.13
Category,2-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),107.56
Category,2-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),158717.44
Category,2-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),39.68
Category,2-hour Departure Time Interval,Avg Miles per Gallon,69049.00
Category,4-hour Departure Time Interval,Number of Vehicles,4000.00
Category,4-hour Departure Time Interval,Cumulative Number of Vehicles,4000.00
