name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,11489,1,no_control,0,-111.902652,40.580647,"<Point><coordinates>-111.902652,40.580647</coordinates></Point>"
,11507,1,no_control,0,-111.902527,40.562393,"<Point><coordinates>-111.902527,40.562393</coordinates></Point>"
,11763,4,4way_stop_sign,0,-111.905488,40.584909,"<Point><coordinates>-111.905488,40.584909</coordinates></Point>"
,11827,1,no_control,0,-111.929192,40.626782,"<Point><coordinates>-111.929192,40.626782</coordinates></Point>"
,11910,4,4way_stop_sign,0,-111.904258,40.589983,"<Point><coordinates>-111.904258,40.589983</coordinates></Point>"
,3000,5,pretimed_signal,0,-111.916207,40.581200,"<Point><coordinates>-111.916207,40.581200</coordinates></Point>"
,3001,1,no_control,0,-111.909573,40.580790,"<Point><coordinates>-111.909573,40.580790</coordinates></Point>"
,3002,1,no_control,0,-111.911260,40.581966,"<Point><coordinates>-111.911260,40.581966</coordinates></Point>"
,1,0,unknown_control,0,-111.920177,40.587738,"<Point><coordinates>-111.920177,40.587738</coordinates></Point>"
,2,0,unknown_control,0,-111.918417,40.587734,"<Point><coordinates>-111.918417,40.587734</coordinates></Point>"
,3,0,unknown_control,0,-111.916477,40.587730,"<Point><coordinates>-111.916477,40.587730</coordinates></Point>"
,4,0,unknown_control,0,-111.914379,40.587726,"<Point><coordinates>-111.914379,40.587726</coordinates></Point>"
,5,0,unknown_control,0,-111.912416,40.587722,"<Point><coordinates>-111.912416,40.587722</coordinates></Point>"
