from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_distance_per_lane,speed,queue_length_percentage,number_of_queued_vehicles,cumulative_arrival_count,cumulative_departure_count,total_energy,total_CO2,total_NOX,total_CO,total_HC,total_PM,total_PM2.5
1,3,1->3,5,960, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,961, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,962, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,963, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,964, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,965, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,966, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,967, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,968, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,969, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,970, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,971, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,972, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,973, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,974, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,975, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,976, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,977, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,978, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,979, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,980, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,981, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,982, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,983, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,984, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,985, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,986, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,987, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,988, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,989, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,990, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,991, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,992, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,993, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,994, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,995, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,996, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,997, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,998, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,999, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1000, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1001, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1002, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1003, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1004, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1005, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1006, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1007, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1008, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1009, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1010, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1011, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1012, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1013, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1014, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1015, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,3,1->3,5,1016, 15.68,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,65.00,0.00,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
