zone_id,geometry
16,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.015280,40.696551,0.0 -112.015268,40.695020,0.0 -112.015293,40.690663,0.0 -112.015261,40.686349,0.0 -112.021236,40.686249,0.0 -112.021200,40.689150,0.0 -112.021233,40.693507,0.0 -112.021276,40.696525,0.0 -112.015280,40.696551,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
17,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.021276,40.696525,0.0 -112.021266,40.692668,0.0 -112.021256,40.688855,0.0 -112.021236,40.686249,0.0 -112.024775,40.686278,0.0 -112.024790,40.690768,0.0 -112.024840,40.694713,0.0 -112.024828,40.695685,0.0 -112.024834,40.696509,0.0 -112.021276,40.696525,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
18,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.024834,40.696509,0.0 -112.024828,40.695685,0.0 -112.024871,40.693771,0.0 -112.024790,40.690768,0.0 -112.024826,40.687868,0.0 -112.024775,40.686278,0.0 -112.030460,40.686149,0.0 -112.030424,40.696469,0.0 -112.029766,40.696487,0.0 -112.028916,40.696505,0.0 -112.024834,40.696509,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
19,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.031391,40.696494,0.0 -112.030490,40.696490,0.0 -112.030402,40.686253,0.0 -112.036938,40.686179,0.0 -112.037059,40.696527,0.0 -112.031391,40.696494,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
20,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.030490,40.696490,0.0 -112.033732,40.696528,0.0 -112.037059,40.696527,0.0 -112.037548,40.704622,0.0 -112.030662,40.704653,0.0 -112.030490,40.696490,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
21,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.030424,40.696469,0.0 -112.030662,40.704653,0.0 -112.024880,40.704915,0.0 -112.024903,40.700424,0.0 -112.024834,40.696509,0.0 -112.025860,40.696534,0.0 -112.027427,40.696556,0.0 -112.029766,40.696487,0.0 -112.030424,40.696469,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.021276,40.696525,0.0 -112.024834,40.696509,0.0 -112.024858,40.699512,0.0 -112.024852,40.703796,0.0 -112.024880,40.704915,0.0 -112.020546,40.704831,0.0 -112.020469,40.699826,0.0 -112.020541,40.699148,0.0 -112.020555,40.698398,0.0 -112.020648,40.697867,0.0 -112.021323,40.697688,0.0 -112.021276,40.696525,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
23,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.020546,40.704831,0.0 -112.017355,40.704874,0.0 -112.017122,40.699679,0.0 -112.017111,40.698207,0.0 -112.017107,40.697736,0.0 -112.017297,40.697249,0.0 -112.017293,40.696807,0.0 -112.017446,40.696556,0.0 -112.021276,40.696525,0.0 -112.021323,40.697688,0.0 -112.020648,40.697867,0.0 -112.020555,40.698398,0.0 -112.020541,40.699148,0.0 -112.020469,40.699826,0.0 -112.020546,40.704831,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
24,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.017355,40.704874,0.0 -112.013602,40.704891,0.0 -112.013371,40.699945,0.0 -112.013387,40.699415,0.0 -112.013398,40.698355,0.0 -112.013365,40.696574,0.0 -112.015280,40.696551,0.0 -112.017446,40.696556,0.0 -112.017293,40.696807,0.0 -112.017297,40.697249,0.0 -112.017107,40.697736,0.0 -112.017122,40.699679,0.0 -112.017239,40.702357,0.0 -112.017355,40.704874,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
25,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.013602,40.704891,0.0 -112.005845,40.704924,0.0 -112.005768,40.702349,0.0 -112.005776,40.700759,0.0 -112.005777,40.698330,0.0 -112.005725,40.696563,0.0 -112.010754,40.696586,0.0 -112.013365,40.696574,0.0 -112.013309,40.696854,0.0 -112.013398,40.698355,0.0 -112.013387,40.699415,0.0 -112.013371,40.699945,0.0 -112.013602,40.704891,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
26,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.005845,40.704924,0.0 -112.004957,40.704919,0.0 -112.001603,40.705048,0.0 -112.001551,40.702196,0.0 -112.001475,40.700080,0.0 -112.001504,40.699827,0.0 -112.001735,40.698423,0.0 -112.001940,40.697502,0.0 -112.001968,40.697157,0.0 -112.001903,40.696605,0.0 -112.005725,40.696563,0.0 -112.005768,40.702349,0.0 -112.005845,40.704924,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
27,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.001596,40.704082,0.0 -112.001603,40.705048,0.0 -111.996374,40.705070,0.0 -111.996285,40.701114,0.0 -111.996190,40.696589,0.0 -112.001903,40.696605,0.0 -112.001940,40.697502,0.0 -112.001504,40.699827,0.0 -112.001596,40.704082,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
28,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.996374,40.705070,0.0 -111.993865,40.705081,0.0 -111.993857,40.703931,0.0 -111.993845,40.702275,0.0 -111.993854,40.699376,0.0 -111.993834,40.696616,0.0 -111.996190,40.696589,0.0 -111.996285,40.701114,0.0 -111.996231,40.702057,0.0 -111.996374,40.705070,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
29,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.993865,40.705081,0.0 -111.990057,40.705097,0.0 -111.989934,40.700635,0.0 -111.989750,40.700222,0.0 -111.990230,40.699690,0.0 -111.990289,40.699529,0.0 -111.990347,40.699161,0.0 -111.990337,40.697873,0.0 -111.990328,40.696631,0.0 -111.991393,40.696595,0.0 -111.992142,40.696623,0.0 -111.992353,40.696622,0.0 -111.992746,40.696621,0.0 -111.993109,40.696596,0.0 -111.993834,40.696616,0.0 -111.993785,40.698180,0.0 -111.993759,40.702965,0.0 -111.993865,40.705081,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
30,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.990057,40.705097,0.0 -111.986702,40.705111,0.0 -111.986693,40.703799,0.0 -111.986635,40.696614,0.0 -111.990328,40.696631,0.0 -111.990347,40.699161,0.0 -111.990289,40.699529,0.0 -111.990230,40.699690,0.0 -111.989750,40.700222,0.0 -111.989934,40.700635,0.0 -111.990057,40.705097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
31,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.986702,40.705111,0.0 -111.980325,40.705137,0.0 -111.980195,40.703895,0.0 -111.980212,40.701986,0.0 -111.980321,40.700260,0.0 -111.980308,40.698489,0.0 -111.980910,40.696609,0.0 -111.982894,40.696616,0.0 -111.986635,40.696614,0.0 -111.986599,40.699108,0.0 -111.986624,40.702581,0.0 -111.986702,40.705111,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
33,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.977181,40.705150,0.0 -111.973463,40.705119,0.0 -111.973455,40.703900,0.0 -111.973511,40.703278,0.0 -111.973468,40.701392,0.0 -111.973490,40.700265,0.0 -111.973569,40.698540,0.0 -111.973566,40.698126,0.0 -111.973483,40.696639,0.0 -111.977080,40.696609,0.0 -111.977085,40.699952,0.0 -111.977166,40.702941,0.0 -111.977181,40.705150,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
34,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.973463,40.705119,0.0 -111.967660,40.705142,0.0 -111.967609,40.702129,0.0 -111.967591,40.699438,0.0 -111.967571,40.696586,0.0 -111.969355,40.696624,0.0 -111.971201,40.696618,0.0 -111.973483,40.696639,0.0 -111.973566,40.698126,0.0 -111.973403,40.700703,0.0 -111.973511,40.703278,0.0 -111.973455,40.703900,0.0 -111.973463,40.705119,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
35,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.967593,40.704172,0.0 -111.967660,40.705142,0.0 -111.962357,40.705161,0.0 -111.962064,40.697924,0.0 -111.962055,40.696665,0.0 -111.964790,40.696654,0.0 -111.967571,40.696586,0.0 -111.967547,40.699904,0.0 -111.967609,40.702129,0.0 -111.967593,40.704172,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
36,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.962357,40.705161,0.0 -111.958019,40.705157,0.0 -111.958011,40.703918,0.0 -111.957991,40.700883,0.0 -111.958004,40.697622,0.0 -111.957970,40.696680,0.0 -111.959181,40.696663,0.0 -111.962055,40.696665,0.0 -111.962064,40.697924,0.0 -111.962357,40.705161,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
37,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.960552,40.705176,0.0 -111.960986,40.705174,0.0 -111.960660,40.707055,0.0 -111.953953,40.707308,0.0 -111.954151,40.705238,0.0 -111.960552,40.705176,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
38,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.958844,40.690824,0.0 -111.957913,40.690944,0.0 -111.953315,40.691052,0.0 -111.954131,40.689328,0.0 -111.959210,40.689514,0.0 -111.958844,40.690824,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
39,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.974152,40.705104,0.0 -111.974605,40.705121,0.0 -111.974126,40.706923,0.0 -111.971721,40.706805,0.0 -111.971374,40.705134,0.0 -111.974152,40.705104,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
