agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
72,72,12,18,11151,1286,931.79,937.60,5.81,1,1,10.00,1,0,3.00,
73,73,6,11,5238,5119,931.90,940.00,8.10,1,1,10.00,1,15,4.48,
74,74,28,32,1359,1285,931.92,939.50,7.58,1,1,10.00,1,5,4.32,
75,75,15,40,4899,1296,931.93,933.90,1.97,1,1,10.00,1,10,0.94,
76,76,6,41,5238,5578,931.94,940.50,8.56,1,1,10.00,1,10,5.34,
77,77,34,27,1322,1348,931.96,933.70,1.74,1,1,10.00,1,5,0.83,
78,78,31,23,8002,1361,932.00,939.00,7.00,1,1,10.00,1,5,3.44,
79,79,1,14,5577,5037,932.11,935.60,3.49,1,1,10.00,1,0,2.03,
80,80,18,20,1286,1357,932.16,941.60,9.44,1,1,10.00,1,15,5.33,
81,81,35,38,1290,1397,932.16,941.80,9.64,1,1,10.00,1,0,4.95,
82,82,16,36,11827,1299,932.19,935.20,3.01,1,1,10.00,1,0,1.60,
83,83,9,22,5356,3689,932.30,933.60,1.30,1,1,10.00,1,15,0.52,
84,84,34,11,1322,5119,932.31,936.30,3.99,1,1,10.00,1,15,2.06,
85,85,34,41,1322,5578,932.31,935.10,2.79,1,1,10.00,1,5,1.81,
86,86,17,9,1289,5356,932.31,942.40,10.09,1,1,10.00,1,5,5.35,
87,87,2,24,11123,1325,932.31,938.90,6.59,1,1,10.00,1,5,3.35,
88,88,17,24,1289,1325,932.31,939.30,6.99,1,1,10.00,1,10,3.32,
89,89,1,21,5577,6253,932.31,942.50,10.19,1,1,10.00,1,0,6.32,
90,90,12,22,11151,3689,932.33,938.20,5.87,1,1,10.00,1,5,2.61,
91,91,3,24,11159,1325,932.33,937.40,5.07,1,1,10.00,1,5,2.63,
92,92,3,9,11159,5356,932.35,938.70,6.35,1,1,10.00,1,15,3.35,
93,93,2,9,11123,5356,932.35,941.20,8.85,1,1,10.00,1,0,4.86,
94,94,37,12,1353,11151,932.36,939.20,6.84,1,1,10.00,1,15,3.63,
95,95,7,30,11281,1360,932.37,938.50,6.13,1,1,10.00,1,5,2.98,
96,96,5,25,11282,1355,932.47,936.60,4.13,1,1,10.00,1,5,2.05,
97,97,6,35,5238,1290,932.49,941.30,8.81,1,1,10.00,1,10,4.76,
98,98,27,40,1348,1296,932.49,938.90,6.41,1,1,10.00,1,0,3.47,
99,99,6,24,5238,1325,932.50,942.00,9.50,1,1,10.00,1,5,4.77,
100,100,31,41,1314,5578,932.50,935.80,3.30,1,1,10.00,1,10,1.97,
101,101,31,11,1314,5119,932.50,937.60,5.10,1,1,10.00,1,0,2.53,
102,102,6,9,5238,5356,932.50,937.60,5.10,1,1,10.00,1,5,2.75,
103,103,5,11,11282,5119,932.50,940.10,7.60,1,1,10.00,1,15,4.11,
104,104,37,11,1349,5119,932.55,936.80,4.25,1,1,10.00,1,0,2.09,
105,105,5,41,11282,5578,932.55,940.80,8.25,1,1,10.00,1,5,4.97,
106,106,1,13,5577,5034,932.55,937.60,5.05,1,1,10.00,1,0,2.85,
107,107,18,1,1286,5577,932.56,934.60,2.04,1,1,10.00,1,0,0.90,
108,108,5,2,11282,11123,932.58,939.40,6.82,1,1,10.00,1,15,3.79,
109,109,37,41,1349,5578,932.61,937.90,5.29,1,1,10.00,1,15,3.43,
110,110,1,34,5577,1319,932.61,935.20,2.59,1,1,10.00,1,0,1.56,
111,111,1,11,5577,5119,932.64,941.40,8.76,1,1,10.00,1,10,4.77,
112,112,15,14,4899,5037,932.64,933.80,1.16,1,1,10.00,1,5,0.57,
113,113,3,11,11159,5119,932.65,937.10,4.45,1,1,10.00,1,10,2.34,
114,114,8,39,10847,1404,932.65,934.70,2.05,1,1,10.00,1,10,0.83,
115,115,41,11,5578,5119,932.67,941.60,8.93,1,1,10.00,1,10,5.03,
116,116,11,41,5119,5578,932.67,941.20,8.53,1,1,10.00,1,0,5.03,
117,117,3,41,11159,5578,932.67,937.40,4.73,1,1,10.00,1,0,3.20,
118,118,1,41,5577,5578,932.67,933.80,1.13,1,1,10.00,1,5,0.62,
119,119,7,11,11281,5119,932.67,939.90,7.23,1,1,10.00,1,10,3.53,
120,120,6,5,5238,11282,932.68,934.20,1.52,1,1,10.00,1,5,0.91,
121,121,14,1,5037,5577,932.71,936.40,3.69,1,1,10.00,1,0,2.03,
122,122,7,41,11281,5578,932.73,942.30,9.57,1,1,10.00,1,5,5.64,
123,123,17,14,1289,5037,932.73,936.80,4.07,1,1,10.00,1,10,2.10,
124,124,20,5,1356,11282,932.73,935.50,2.77,1,1,10.00,1,5,1.28,
