from_zone_id,to_zone_id,number_of_agents,number_of_agents_completing_trips,trip_time_in_min,distance
21,23,2,2,4.28375,1.70723
21,24,14,14,6.14285,2.68485
21,25,1,1,4.89606,2.16
21,26,2,2,6.70978,2.90693
21,27,3,3,5.81748,3.1344
21,28,4,4,3.96269,1.56456
21,30,1,1,4.19232,1.84639
21,31,5,5,34.6306,4.0782
21,32,4,4,46.0772,5.8646
21,33,2,2,5.03015,2.5219
21,34,9,9,47.2152,3.96093
21,35,1,1,27.684,5.99206
21,36,2,2,8.94461,3.99815
21,37,4,4,5.1004,2.5017
21,38,4,4,4.76143,2.2661
21,39,1,1,3.39117,1.43543
21,40,1,1,9.08325,4.14605
21,41,18,18,41.5056,6.5706
24,1,2,2,7.83405,4.024
24,2,2,2,6.75372,3.3473
24,3,3,3,5.08362,2.62808
24,5,1,1,7.79163,4.39578
24,6,1,1,8.47461,4.76988
24,7,1,1,7.8703,3.66606
24,9,7,7,4.83837,1.99296
24,10,1,1,4.62531,1.82553
24,11,9,9,1.67864,0.63
24,13,5,5,4.42876,1.9665
24,14,5,5,5.49551,2.5668
24,15,2,2,5.505,2.5618
24,16,3,3,7.11125,3.5186
24,17,2,2,6.99768,3.3243
24,18,2,2,8.39243,4.0521
24,19,3,3,7.50698,3.48668
24,20,2,2,7.09753,2.80186
24,21,5,5,6.11401,2.52946
24,22,3,3,4.07007,1.65976
24,23,1,1,4.80695,1.8933
24,26,1,1,4.17798,1.77088
24,27,1,1,5.89893,2.87128
24,28,2,2,2.98181,1.25892
24,30,1,1,2.24438,0.8223
24,31,3,3,26.7802,2.82298
24,32,2,2,7.5484,3.8215
24,33,1,1,7.53052,3.98168
24,34,5,5,5.10778,2.34928
24,36,1,1,5.07251,2.0766
24,37,3,3,5.04368,2.38278
24,38,2,2,9.29648,4.11756
24,39,1,1,4.45227,1.79523
24,41,9,9,8.23715,4.2745
25,1,5,5,24.6175,3.7374
25,2,4,4,14.2989,2.8077
25,3,8,8,2.6052,1.3006
25,5,3,3,4.04685,2.054
25,6,3,3,4.58154,2.4281
25,7,3,3,3.6854,1.68
25,9,18,18,4.66111,1.90233
25,10,1,1,4.26178,1.7349
25,11,24,24,8.8625,1.47368
25,12,1,1,12.9488,2.44128
25,13,12,12,12.225,2.96708
25,14,15,15,7.62666,3.9329
25,15,6,6,7.63323,3.9279
25,16,7,7,6.56849,3.2324
25,17,5,5,27.8117,3.3056
25,18,5,5,25.5739,4.2673
25,19,7,7,2.66831,1.0868
25,20,5,5,1.9203,0.6626
25,21,14,14,5.02143,2.16
25,22,7,7,3.90302,1.56913
25,23,3,3,5.01506,1.9764
25,24,18,18,9.8,1.76388
25,26,3,3,1.59043,0.5324
25,27,4,4,2.85918,0.9889
25,28,5,5,8.94301,1.474
25,30,3,3,12.1016,1.66598
25,31,8,8,28.3026,1.4955
25,32,5,5,36.5772,3.2819
25,33,2,2,3.64743,1.6399
25,34,13,13,2.48461,1.0218
25,35,2,2,5.9841,2.7868
25,36,3,3,11.6757,3.07718
25,37,6,6,1.46303,0.5055
25,38,5,5,5.03451,2.1315
25,39,2,2,3.26834,1.2812
25,40,1,1,6.82684,3.3959
25,41,24,24,27.5125,3.9879
26,1,5,5,5.26493,2.98956
26,2,4,4,3.89993,2.05986
26,3,7,7,1.9905,1.10323
26,5,3,3,4.76459,2.87093
26,6,3,3,5.66038,3.24503
26,7,3,3,5.41467,2.55503
26,8,1,1,6.47559,2.42636
26,9,15,15,11.1533,2.49156
26,10,1,1,9.46625,2.32413
26,11,20,20,8.93,1.48068
26,13,10,10,5.19001,2.79333
26,14,12,12,6.13333,3.28673
26,15,5,5,6.08529,3.28173
26,16,5,5,5.0453,2.58623
26,17,5,5,4.4092,2.13173
26,18,5,5,6.5155,3.11973
26,19,6,6,4.3704,1.96183
26,20,4,4,4.47388,1.97883
26,21,12,12,12.45,3.02806
26,22,5,5,9.59785,2.15836
26,23,3,3,9.09705,2.3919
26,24,15,15,9.79333,1.77088
26,25,1,1,1.57452,0.5324
26,27,3,3,2.70551,1.34643
26,28,4,4,8.01044,1.481
26,30,2,2,9.05753,1.67298
26,31,6,6,2.17171,0.74766
26,32,4,4,4.89952,2.53406
26,33,1,1,4.51855,2.45683
26,34,10,10,1.14,0.38813
26,35,1,1,4.4549,2.14063
26,36,2,2,5.80725,2.90343
26,37,5,5,1.94132,0.85793
26,38,4,4,6.50987,3.43023
26,39,1,1,8.55188,2.29383
26,40,1,1,5.45099,2.74973
26,41,19,19,5.57369,3.24006
27,1,9,9,30.7736,3.1926
27,2,7,7,41.6922,2.2629
27,3,14,14,7.3,0.7558
27,4,1,1,1.83173,0.821
27,5,5,5,2.82146,1.5314
27,6,7,7,3.38469,1.9055
27,7,5,5,4.2048,2.208
27,9,31,31,6.40323,3.3781
27,10,2,2,6.28189,2.7774
27,11,42,42,23.8381,2.58108
27,12,1,1,24.3544,3.64206
27,13,21,21,34.6333,3.51726
27,14,26,26,35.5154,4.01066
27,15,10,10,35.55,4.00566
27,16,12,12,34.3333,3.6916
27,17,10,10,33.17,2.7608
27,18,9,9,32.7294,3.7225
27,19,12,12,2.50833,1.1165
27,20,9,9,3.72605,1.6108
27,21,24,24,5.85,3.1344
27,22,12,12,5.94999,2.61163
27,23,6,6,30.5155,3.4923
27,24,32,32,24.6844,2.87128
27,25,2,2,2.85504,0.9889
27,26,4,4,7.79396,1.34643
27,28,10,10,24.19,2.5814
27,30,4,4,28.1417,2.77338
27,31,13,13,30.4077,0.9507
27,32,9,9,39.2369,2.7371
27,33,4,4,2.45151,1.1173
27,34,21,21,30.1381,0.83343
27,35,4,4,40.2627,2.86456
27,36,5,5,33.9808,3.62736
27,37,9,9,1.42914,0.4834
27,38,9,9,4.49121,2.0907
27,39,3,3,5.30522,2.3237
27,40,2,2,33.2366,3.47366
27,41,41,41,33.6951,3.4431
28,1,7,7,20.1646,4.775
28,2,5,5,29.9883,3.8453
28,3,9,9,4.27706,2.3382
28,5,3,3,6.28668,3.02276
28,6,5,5,6.61514,3.39686
28,7,3,3,5.65818,2.70116
28,8,1,1,2.55792,0.96286
28,9,20,20,2.565,1.02806
28,10,1,1,2.39417,0.86063
28,11,28,28,2.1,0.96872
28,12,1,1,4.3645,1.93632
28,13,14,14,5.41429,2.46212
28,14,17,17,6.52354,3.06242
28,15,7,7,6.4576,3.05742
28,16,8,8,8.09991,4.01422
28,17,7,7,40.4567,4.3432
28,18,6,6,36.7324,5.3049
28,19,8,8,5.79294,2.40423
28,20,6,6,4.5729,1.83696
28,21,16,16,3.83125,1.56456
28,22,8,8,1.75176,0.69486
28,23,4,4,2.8232,1.15316
28,24,21,21,3.05239,1.25892
28,25,2,2,3.31982,1.474
28,26,3,3,3.14187,1.481
28,27,4,4,5.12689,2.5814
28,30,2,2,1.35663,0.54159
28,31,8,8,29.7878,2.5331
28,32,6,6,15.2335,4.3195
28,33,3,3,6.84983,3.6918
28,34,14,14,4.37143,2.0594
28,35,2,2,7.54349,3.8244
28,36,3,3,5.97115,2.57222
28,37,7,7,4.36872,2.0929
28,38,6,6,7.01769,3.15266
28,39,3,3,2.28345,0.83033
28,40,1,1,5.90002,2.72012
28,41,27,27,29.9741,5.0255
30,9,1,1,2.90955,1.30989
30,11,1,1,1.42798,0.5321
30,16,1,1,8.28461,4.0243
30,18,1,1,47.8741,5.4831
31,1,10,10,3.04,1.7174
31,2,8,8,1.66613,0.7877
31,3,16,16,12.6687,0.7075
31,4,1,1,22.7319,1.7648
31,5,5,5,17.1791,2.4752
31,6,8,8,16.2211,2.8493
31,7,5,5,18.9236,3.1518
31,8,1,1,18.6074,3.47846
31,9,36,36,31.3583,3.54366
31,10,2,2,36.387,3.37623
31,11,47,47,29.1745,2.53278
31,12,1,1,4.88715,2.16686
31,13,25,25,4.28801,2.04206
31,14,30,30,5.18001,2.53546
31,15,11,11,5.25455,2.53046
31,16,14,14,3.90001,2.2164
31,17,11,11,2.82728,1.2856
31,18,10,10,4.46,2.2473
31,19,14,14,15.0357,2.0603
31,20,10,10,16.48,2.5546
31,21,27,27,18.563,4.0782
31,22,14,14,30.8714,3.21046
31,23,6,6,26.7233,3.444
31,24,36,36,30.1833,2.82298
31,25,2,2,16.7887,1.4955
31,26,5,5,2.17036,0.74766
31,27,7,7,20.1804,0.9507
31,28,11,11,29.6545,2.5331
31,30,4,4,39.7234,2.72508
31,32,10,10,2.69999,1.2619
31,33,4,4,19.4689,2.0611
31,34,24,24,1.1,0.35953
31,35,3,3,3.40759,1.38936
31,36,5,5,4.98135,2.15216
31,37,11,11,13.3091,0.9384
31,38,10,10,17.37,3.0345
31,39,4,4,23.1587,3.34593
31,40,1,1,4.68024,1.99846
31,41,47,47,3.36383,1.9679
32,1,9,9,1.78753,0.9323
32,2,7,7,6.44693,0.9986
32,3,13,13,34.2692,2.4939
32,4,1,1,37.6954,3.5512
32,5,4,4,14.0238,4.2616
32,6,6,6,38.1082,4.6357
32,7,4,4,31.6803,4.9382
32,9,30,30,51.0733,5.33006
32,10,2,2,57.9283,5.16263
32,11,40,40,48.83,4.31918
32,12,1,1,10.8638,2.7704
32,13,21,21,8.72857,2.6456
32,14,25,25,4.792,2.5907
32,15,10,10,4.78001,2.5857
32,16,12,12,2.74166,1.4313
32,17,10,10,1.47,0.5005
32,18,9,9,3.20752,1.4622
32,19,11,11,36.8545,3.8467
32,20,9,9,45.2171,4.341
32,21,23,23,40.0087,5.8646
32,22,12,12,51.025,4.99686
32,23,6,6,45.0714,5.2304
32,24,30,30,11.81,3.8215
32,25,2,2,49.145,3.2819
32,26,4,4,20.8645,2.53406
32,27,6,6,52.279,2.7371
32,28,10,10,50.03,4.3195
32,30,4,4,43.4756,4.51148
32,31,13,13,17.7538,1.2619
32,33,3,3,33.6899,3.8475
32,34,20,20,17.375,1.10723
32,35,3,3,2.87451,0.9948
32,36,5,5,5.05272,2.6667
32,37,9,9,32.5087,2.7248
32,38,8,8,44.4436,4.8209
32,39,3,3,69.7958,5.13233
32,40,1,1,7.45215,2.602
32,41,40,40,2.1575,1.1828
33,1,3,3,52.7558,4.303
33,2,3,3,22.0984,3.3733
33,3,5,5,8.08243,1.8662
33,5,2,2,1.93689,0.9189
33,6,3,3,2.33793,1.293
33,7,1,1,3.32574,1.5955
33,9,11,11,5.48182,2.7656
33,10,1,1,6.61755,2.8585
33,11,15,15,26.3533,3.69148
33,13,8,8,33.7719,4.62766
33,14,9,9,36.7552,5.12106
33,15,3,3,30.3532,5.11606
33,16,4,4,27.4239,4.802
33,17,3,3,20.0523,3.8712
33,18,3,3,50.8714,4.8329
33,19,4,4,1.46819,0.504
33,20,3,3,3.00608,1.029
33,21,8,8,4.91065,2.5219
33,22,5,5,5.88831,2.9016
33,23,2,2,7.1174,3.1
33,24,11,11,27.2,3.98168
33,25,1,1,3.65967,1.6399
33,26,2,2,13.3982,2.45683
33,27,2,2,2.83911,1.1173
33,28,4,4,31.9311,3.6918
33,30,1,1,7.30188,3.23916
33,31,4,4,19.0851,2.0611
33,32,3,3,27.7677,3.8475
33,34,7,7,38.9854,1.94383
33,35,2,2,40.2834,3.97496
33,36,1,1,36.9577,4.73776
33,37,3,3,2.64339,1.0957
33,38,2,2,3.5715,1.4782
33,39,1,1,5.37817,2.4048
33,41,15,15,36.5933,4.5535
34,1,11,11,2.55455,1.56273
34,2,9,9,1.20016,0.63303
34,3,17,17,12.2824,0.59023
34,4,1,1,10.116,1.64753
34,5,6,6,11.6193,2.35793
34,6,8,8,13.9141,2.73203
34,7,5,5,16.1403,3.03453
34,8,1,1,7.96204,3.00476
34,9,38,38,18.3974,3.06996
34,10,3,3,13.6232,2.90253
34,11,51,51,16.2157,2.05908
34,12,2,2,3.54056,1.76993
34,13,26,26,3.07308,1.64513
34,14,32,32,4.00313,2.13853
34,15,12,12,3.92499,2.13353
34,16,15,15,2.82667,1.43803
34,17,11,11,2.09998,0.7123
34,18,11,11,4.07272,2.09263
34,19,15,15,14.82,1.94303
34,20,11,11,6.5,2.1122
34,21,30,30,18.26,3.96093
34,22,15,15,17.82,2.73676
34,23,7,7,17.0193,2.9703
34,24,39,39,17.1923,2.34928
34,25,2,2,4.18735,1.0218
34,26,6,6,1.13824,0.38813
34,27,8,8,14.1728,0.83343
34,28,12,12,16.3917,2.0594
