name,node_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1,0,unknown_control,0,-111.845202,40.758446,"<Point><coordinates>-111.845202,40.758446</coordinates></Point>"
,2,0,unknown_control,0,-111.835577,40.757351,"<Point><coordinates>-111.835577,40.757351</coordinates></Point>"
,3,0,unknown_control,0,-111.830491,40.750856,"<Point><coordinates>-111.830491,40.750856</coordinates></Point>"
,4,0,unknown_control,0,-111.830413,40.745692,"<Point><coordinates>-111.830413,40.745692</coordinates></Point>"
,5,0,unknown_control,0,-111.827049,40.741702,"<Point><coordinates>-111.827049,40.741702</coordinates></Point>"
,6,0,unknown_control,0,-111.820398,40.733720,"<Point><coordinates>-111.820398,40.733720</coordinates></Point>"
,7,0,unknown_control,0,-111.838238,40.758368,"<Point><coordinates>-111.838238,40.758368</coordinates></Point>"
