time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
0,133,0,133,133,5.35621,
1,266,0,266,133,6.57538,
2,400,0,400,134,7.79906,
3,533,0,533,133,9.02275,
4,666,12,654,133,10.2419,
5,800,72,728,134,11.4666,
6,933,132,801,133,12.69,
7,1066,192,874,133,13.9092,
8,1200,252,948,134,15.1326,
9,1333,312,1021,133,16.3573,
10,1466,372,1094,133,17.5765,
11,1600,432,1168,134,18.8002,
12,1733,492,1241,133,20.0239,
13,1866,552,1314,133,21.243,
14,2000,612,1388,134,22.4677,
15,2133,672,1461,133,22.6228,
16,2266,732,1534,133,21.4788,
17,2400,792,1608,134,22.9032,
18,2533,852,1681,133,22.8697,
19,2666,912,1754,133,24.0054,
20,2800,972,1828,134,24.0715,
21,2933,1032,1901,133,24.1032,
22,3067,1092,1975,134,25.3453,
23,3200,1152,2048,133,25.9603,
24,3333,1212,2121,133,27.193,
25,3467,1277,2190,134,27.4487,
26,3600,1350,2250,133,27.3983,
27,3733,1436,2297,133,29.7799,
28,3867,1523,2344,134,29.5812,
29,4000,1603,2397,133,31.1039,
30,4133,1684,2449,133,32.9314,
31,4267,1771,2496,134,32.6808,
32,4400,1862,2538,133,31.469,
33,4533,1951,2582,133,32.4498,
34,4667,2031,2636,134,33.6901,
35,4800,2112,2688,133,35.3648,
36,4933,2196,2737,133,35.6757,
37,5067,2284,2783,134,33.8099,
38,5200,2368,2832,133,36.2479,
39,5333,2448,2885,133,37.6047,
40,5467,2529,2938,134,38.5856,
41,5600,2606,2994,133,37.1047,
42,5734,2684,3050,134,38.9737,
43,5867,2763,3104,133,40.3438,
44,6000,2849,3151,133,40.29,
45,6134,2930,3204,134,41.7599,
46,6267,3019,3248,133,42.4246,
47,6400,3097,3303,133,39.9024,
48,6534,3180,3354,134,41.8506,
49,6667,3261,3406,133,42.0859,
50,6800,3351,3449,133,41.2021,
51,6934,3438,3496,134,44.9099,
52,7067,3516,3551,133,44.0667,
53,7200,3598,3602,133,46.1566,
54,7334,3686,3648,134,45.0513,
55,7467,3765,3702,133,47.413,
56,7600,3845,3755,133,48.4028,
57,7734,3926,3808,134,46.2785,
58,7867,4014,3853,133,48.3637,
59,8000,4094,3906,133,51.6107,
60,8000,4176,3824,0,0,
61,8000,4267,3733,0,0,
62,8000,4347,3653,0,0,
63,8000,4436,3564,0,0,
64,8000,4534,3466,0,0,
65,8000,4619,3381,0,0,
66,8000,4705,3295,0,0,
67,8000,4787,3213,0,0,
68,8000,4877,3123,0,0,
69,8000,4960,3040,0,0,
70,8000,5043,2957,0,0,
71,8000,5127,2873,0,0,
72,8000,5219,2781,0,0,
73,8000,5300,2700,0,0,
74,8000,5380,2620,0,0,
75,8000,5449,2551,0,0,
76,8000,5509,2491,0,0,
77,8000,5569,2431,0,0,
78,8000,5629,2371,0,0,
79,8000,5689,2311,0,0,
80,8000,5749,2251,0,0,
81,8000,5809,2191,0,0,
82,8000,5869,2131,0,0,
83,8000,5929,2071,0,0,
84,8000,5989,2011,0,0,
85,8000,6049,1951,0,0,
86,8000,6109,1891,0,0,
87,8000,6169,1831,0,0,
88,8000,6229,1771,0,0,
89,8000,6289,1711,0,0,
90,8000,6349,1651,0,0,
91,8000,6409,1591,0,0,
92,8000,6469,1531,0,0,
93,8000,6529,1471,0,0,
94,8000,6589,1411,0,0,
95,8000,6649,1351,0,0,
96,8000,6709,1291,0,0,
97,8000,6769,1231,0,0,
98,8000,6829,1171,0,0,
99,8000,6889,1111,0,0,
100,8000,6949,1051,0,0,
101,8000,7009,991,0,0,
102,8000,7069,931,0,0,
103,8000,7129,871,0,0,
104,8000,7189,811,0,0,
105,8000,7249,751,0,0,
106,8000,7309,691,0,0,
107,8000,7369,631,0,0,
108,8000,7429,571,0,0,
109,8000,7489,511,0,0,
110,8000,7549,451,0,0,
111,8000,7609,391,0,0,
112,8000,7669,331,0,0,
113,8000,7729,271,0,0,
114,8000,7789,211,0,0,
115,8000,7849,151,0,0,
116,8000,7909,91,0,0,
117,8000,7969,31,0,0,
118,8000,8000,0,0,0,
